#,Unnamed: 1
"""Местное время в Мурманске"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""11.05.2023 12:00"";""8.9"";""756.1"";""760.7"";""0.9"";""72"";""Ветер, дующий с севера"";""4"";""6"";""7"";""70 – 80%."";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""50%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""4.0"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 09:00"";""7.5"";""755.2"";""759.8"";""0.3"";""84"";""Ветер, дующий с юго-запада"";""2"";""3"";""5"";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""5.9"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""5.0"";""0.6"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""Снежный покров не постоянный.""",
"""11.05.2023 06:00"";""6.0"";""754.9"";""759.7"";""-0.2"";""86"";""Ветер, дующий с юго-юго-запада"";""3"";""4"";""5"";""100%."";"" "";"""";"""";""5.9"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""600-1000"";"""";"""";""50.0"";""3.8"";""0.3"";""12"";"""";"""";"""";""""",
"""11.05.2023 03:00"";""6.2"";""755.1"";""759.7"";""-0.4"";""82"";""Ветер, дующий с юга"";""3"";""4"";""8"";""100%."";""Ливневый(ые) дождь(и). "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""3.4"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 00:00"";""7.8"";""755.5"";""760.1"";""-0.2"";""63"";""Ветер, дующий с юга"";""4"";""5"";""8"";""100%."";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""600-1000"";"""";"""";""10.0"";""1.2"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 21:00"";""9.3"";""755.7"";""760.3"";""-0.5"";""56"";""Ветер, дующий с юго-юго-запада"";""3"";""4"";""11"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""12.5"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""600-1000"";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";"""";""20.0"";""0.9"";""Следы осадков"";""12"";"""";"""";"""";""""",
"""10.05.2023 18:00"";""10.8"";""756.2"";""760.9"";""-0.2"";""51"";""Ветер, дующий с юга"";""4"";""7"";""11"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""60%."";""600-1000"";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные."";""20.0"";""0.9"";""Следы осадков"";""12"";"""";"""";"""";""""",
"""10.05.2023 15:00"";""11.6"";""756.4"";""761.0"";""-1.1"";""50"";""Ветер, дующий с юга"";""6"";"""";""11"";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные."";""20.0"";""1.3"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 12:00"";""10.2"";""757.5"";""762.1"";""-0.7"";""57"";""Ветер, дующий с юга"";""6"";""8"";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""1000-1500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""2.1"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 09:00"";""6.9"";""758.2"";""762.8"";""-0.3"";""71"";""Ветер, дующий с юга"";""4"";""7"";""7"";""90  или более, но не 100%"";"" "";"""";"""";""3.6"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""2.0"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""Снежный покров не постоянный.""",
"""10.05.2023 06:00"";""4.4"";""758.5"";""763.3"";""-0.3"";""81"";""Ветер, дующий с юго-юго-запада"";""4"";""6"";""6"";""90  или более, но не 100%"";"" "";"""";"""";""3.6"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""1.3"";""Следы осадков"";""12"";"""";"""";"""";""""",
"""10.05.2023 03:00"";""3.6"";""758.8"";""763.6"";""-0.4"";""83"";""Ветер, дующий с юго-юго-запада"";""3"";""3"";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""1.0"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 00:00"";""3.9"";""759.2"";""764.0"";""-0.1"";""79"";""Ветер, дующий с юга"";""1"";""2"";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""10.0"";""0.5"";"""";"""";"""";"""";"""";""""",
