#,Unnamed: 1
"""Местное время на Мысе Болванский"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'""","""sss"""
"""06.05.2023 00:00"";""-7.0"";""764.2"";""765.5"";""1.2"";""92"";""Ветер, дующий с востока"";""5"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.1"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 21:00"";""-6.6"";""763.0"";""764.2"";""2.0"";""93"";""Ветер, дующий с востоко-северо-востока"";""6"";"""";""13"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-7.5"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 18:00"";""-6.3"";""761.0"";""762.2"";""2.2"";""94"";""Ветер, дующий с северо-востока"";""8"";"""";""15"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-7.1"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 15:00"";""-5.8"";""758.8"";""760.0"";""3.0"";""94"";""Ветер, дующий с северо-востока"";""10"";"""";""14"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-6.6"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 12:00"";""-5.4"";""755.8"";""757.0"";""2.8"";""94"";""Ветер, дующий с северо-востока"";""10"";"""";""14"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-6.2"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 09:00"";""-4.0"";""753.0"";""754.2"";""2.1"";""97"";""Ветер, дующий с востоко-северо-востока"";""9"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-4.4"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 06:00"";""-2.6"";""750.9"";""752.1"";""0.8"";""100"";""Ветер, дующий с северо-запада"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-2.6"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 03:00"";""-1.6"";""750.1"";""751.3"";""-0.1"";"""";""Ветер, дующий с северо-северо-запада"";""2"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",
"""05.05.2023 00:00"";""-0.1"";""750.2"";""751.4"";""-0.2"";""100"";""Ветер, дующий с запада"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-0.1"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 21:00"";""0.4"";""750.4"";""751.5"";""-0.9"";""100"";""Ветер, дующий с западо-юго-запада"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""0.4"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 18:00"";""-1.0"";""751.3"";""752.5"";""-1.5"";""99"";""Ветер, дующий с востоко-юго-востока"";""8"";"""";""18"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.1"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 15:00"";""-1.9"";""752.8"";""754.0"";""-2.1"";""98"";""Ветер, дующий с востоко-юго-востока"";""13"";"""";""19"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-2.2"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 12:00"";""-2.2"";""754.9"";""756.1"";""-1.8"";""97"";""Ветер, дующий с востоко-юго-востока"";""13"";"""";""18"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-2.6"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 09:00"";""-2.3"";""756.7"";""757.9"";""-1.3"";""95"";""Ветер, дующий с востоко-юго-востока"";""12"";"""";""17"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-3.0"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 06:00"";""-2.5"";""758.0"";""759.2"";""-1.4"";""95"";""Ветер, дующий с востоко-юго-востока"";""12"";"""";""16"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-3.2"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 03:00"";""-2.1"";""759.4"";""760.6"";""-1.6"";""95"";""Ветер, дующий с востоко-юго-востока"";""8"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-2.8"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 00:00"";""-1.6"";""761.0"";""762.2"";""-0.6"";""91"";""Ветер, дующий с востока"";""5"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-2.9"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 21:00"";""-1.7"";""761.6"";""762.9"";""0.4"";""92"";""Ветер, дующий с востоко-юго-востока"";""1"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-2.8"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 18:00"";""-0.9"";""761.2"";""762.4"";""1.0"";""93"";""Ветер, дующий с запада"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.9"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 15:00"";""0.0"";""760.2"";""761.4"";""2.1"";""93"";""Ветер, дующий с западо-северо-запада"";""7"";"""";""16"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.0"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 12:00"";""0.5"";""758.1"";""759.3"";""2.3"";""89"";""Ветер, дующий с запада"";""13"";"""";""19"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.1"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 09:00"";""0.6"";""755.8"";""757.0"";""2.0"";""85"";""Ветер, дующий с запада"";""16"";"""";""23"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.6"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 06:00"";""0.5"";""753.8"";""755.0"";""0.7"";""85"";""Ветер, дующий с запада"";""19"";"""";""23"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.7"";"""";"""";"""";"""";"""";""""",
