#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""09.05.2023 21:00"";""-1.4"";""758.0"";"""";"""";""97"";""Ветер, дующий с северо-запада"";""8"";""10"";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""09.05.2023 18:00"";""-1.1"";""756.0"";"""";"""";""99"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";""0.0"";"""";"""";"""";"""";"""";""20.0"";"""";""0.6"";""12"";"""";"""";"""";""""",,,,,,
"""09.05.2023 15:00"";""-0.1"";""756.0"";"""";"""";""98"";""Ветер, дующий с юго-запада"";""9"";"""";"""";""100%."";""Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""09.05.2023 12:00"";""0.0"";""756.0"";"""";"""";""97"";""Ветер, дующий с юго-запада"";""8"";""10"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""09.05.2023 09:00"";""-0.4"";""756.0"";"""";"""";""99"";""Ветер, дующий с юго-запада"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""09.05.2023 06:00"";""-1.0"";"""";"""";"""";""98"";""Ветер, дующий с запада"";""6"";"""";"""";"""";"" "";"""";"""";""-1.7"";"""";"""";"""";"""";"""";"""";"""";"""";""0.2"";""12"";"""";"""";"""";""""",,,,,,
"""09.05.2023 00:00"";""-0.4"";"""";"""";"""";""99"";""Ветер, дующий с запада"";""9"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 21:00"";""-0.1"";""756.0"";"""";"""";""99"";""Ветер, дующий с юго-запада"";""10"";""11"";"""";""100%."";""Ливневый снег умеренный или сильный в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 18:00"";""-0.3"";""757.0"";"""";"""";""99"";""Ветер, дующий с юго-запада"";""8"";"""";"""";""100%."";""Ливневый снег умеренный или сильный в срок наблюдения или за последний час. "";"""";"""";"""";""-0.2"";"""";"""";"""";"""";"""";""4.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""08.05.2023 15:00"";""-0.4"";""758.0"";"""";"""";""97"";""Ветер, дующий с юго-запада"";""8"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 12:00"";""-0.7"";"""";"""";"""";""98"";""Ветер, дующий с юго-запада"";""10"";""15"";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 09:00"";""-0.7"";"""";"""";"""";""98"";""Ветер, дующий с юго-запада"";""10"";"""";"""";"""";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 06:00"";""-4.6"";"""";"""";"""";""93"";""Ветер, дующий с юга"";""4"";"""";"""";"""";"" "";"""";"""";""-7.9"";"""";"""";"""";"""";"""";"""";"""";""-5.6"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""08.05.2023 03:00"";""-5.1"";""762.0"";"""";"""";""90"";""Ветер, дующий с запада"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 00:00"";""-5.7"";""763.0"";"""";"""";""86"";""Ветер, дующий с севера"";""8"";""15"";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""07.05.2023 21:00"";""-4.4"";""764.0"";"""";"""";""83"";""Ветер, дующий с севера"";""6"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""07.05.2023 18:00"";""-3.0"";""764.0"";"""";"""";""79"";""Ветер, дующий с севера"";""9"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""07.05.2023 15:00"";""-2.7"";""764.0"";"""";"""";""73"";""Ветер, дующий с севера"";""5"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""07.05.2023 09:00"";""-3.8"";""765.4"";""766.1"";"""";""77"";""Ветер, дующий с востока"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-7.3"";"""";"""";"""";"""";"""";""""",,,,,,
