#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"""Местное время в Усть-Каре"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,,,
"""09.05.2023 21:00"";""-4.6"";""757.0"";"""";"""";""95"";""Ветер, дующий с запада"";""2"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""09.05.2023 18:00"";""-2.0"";""757.0"";"""";"""";""90"";""Ветер, дующий с запада"";""2"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";""1.0"";"""";"""";"""";"""";"""";""20.0"";"""";""0.6"";""12"";"""";"""";"""";""""",,,,,,,,
"""09.05.2023 15:00"";""0.0"";""756.0"";"""";"""";""91"";""Штиль, безветрие"";""0"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""09.05.2023 12:00"";""0.1"";""755.0"";"""";"""";""95"";""Ветер, дующий с запада"";""5"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""09.05.2023 09:00"";""0.6"";""754.0"";"""";"""";""96"";""Ветер, дующий с юга"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""09.05.2023 06:00"";""-2.0"";""755.0"";"""";"""";""96"";""Ветер, дующий с юго-востока"";""5"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";""-8.5"";"""";"""";"""";"""";"""";"""";""2.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""54.0""",,,,,,,,
"""09.05.2023 03:00"";""-4.5"";""755.5"";""755.8"";"""";""94"";""Ветер, дующий с юго-востока"";""5"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""10.0"";""-5.4"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""09.05.2023 00:00"";""-6.6"";""756.0"";"""";"""";""93"";""Ветер, дующий с юго-востока"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""08.05.2023 21:00"";""-8.2"";""758.0"";"""";"""";""86"";""Ветер, дующий с юга"";""2"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""08.05.2023 18:00"";""-8.2"";""758.0"";"""";"""";""86"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";""-7.9"";"""";"""";"""";"""";"""";""20.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,,,
