#,Unnamed: 1
"""Местное время на мысе Канин Нос"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""10.05.2023 12:00"";""0.7"";""763.0"";""767.6"";""0.5"";""92"";""Ветер, дующий с юго-юго-востока"";""5"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""70 – 80%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.5"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 09:00"";""0.7"";""762.5"";""767.1"";""0.7"";""90"";""Ветер, дующий с юго-юго-востока"";""3"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.8"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 06:00"";""0.8"";""761.8"";""766.3"";""0.8"";""90"";""Ветер, дующий с запада"";""1"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";""-0.6"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.7"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""62.0""",
"""10.05.2023 03:00"";""-0.5"";""761.0"";""765.6"";""0.9"";""94"";""Ветер, дующий с западо-северо-запада"";""2"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.3"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 00:00"";""-0.2"";""760.1"";""764.7"";""1.0"";""93"";""Ветер, дующий с северо-запада"";""3"";"""";"""";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.2"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 21:00"";""0.3"";""759.1"";""763.6"";""1.1"";""90"";""Ветер, дующий с северо-запада"";""2"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.1"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 18:00"";""0.8"";""758.0"";""762.5"";""1.3"";""89"";""Ветер, дующий с северо-запада"";""2"";"""";"""";""60%."";"" "";"""";"""";"""";""1.2"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.9"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""09.05.2023 15:00"";""0.8"";""756.7"";""761.2"";""1.5"";""89"";""Ветер, дующий с северо-запада"";""6"";"""";""11"";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""1000-1500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.9"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 12:00"";""0.6"";""755.2"";""759.7"";""0.9"";""93"";""Ветер, дующий с западо-северо-запада"";""7"";""10"";""10"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""-0.4"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 09:00"";""1.0"";""754.3"";""758.8"";""0.0"";""92"";""Ветер, дующий с запада"";""8"";""10"";""10"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.1"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 06:00"";""0.7"";""754.3"";""758.8"";""-0.4"";""97"";""Ветер, дующий с запада"";""7"";""10"";""11"";""100%."";"" "";"""";"""";""0.1"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""0.3"";""Осадков нет"";""12"";"""";"""";""Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""66.0""",
"""09.05.2023 03:00"";""0.6"";""754.7"";""759.2"";""-0.6"";""93"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""-0.4"";"""";"""";"""";"""";"""";""""",
