#,Unnamed: 1
"""Местное время в Амдерме"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""11.05.2023 06:00"";""-5.1"";""763.6"";""768.7"";""0.1"";""87"";""Ветер, дующий с юго-востока"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-6.1"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""18.0"";""-6.9"";""0.2"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""20.0""",
"""11.05.2023 03:00"";""-5.7"";""763.5"";""768.7"";""0.1"";""89"";""Ветер, дующий с юго-юго-востока"";""2"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""20.0"";""-7.2"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 00:00"";""-5.8"";""763.4"";""768.6"";""0.3"";""89"";""Ветер, дующий с юго-юго-запада"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""19.0"";""-7.4"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 21:00"";""-4.9"";""763.1"";""768.3"";""0.6"";""77"";""Ветер, дующий с северо-северо-запада"";""3"";"""";"""";""60%."";""Ливневый снег или ливневый дождь и снег. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";"""";"""";""600-1000"";"""";"""";""20.0"";""-8.3"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 18:00"";""-4.9"";""762.5"";""767.7"";""0.5"";""87"";""Ветер, дующий с севера"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-4.8"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""17.0"";""-6.8"";""Следы осадков"";""12"";"""";"""";"""";""""",
"""10.05.2023 15:00"";""-5.0"";""762.0"";""767.1"";""1.6"";""85"";""Ветер, дующий с севера"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""-7.2"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 12:00"";""-5.3"";""760.4"";""765.5"";""1.9"";""87"";""Ветер, дующий с северо-востока"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""90  или более, но не 100%"";""200-300"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-7.2"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 09:00"";""-6.1"";""758.5"";""763.6"";""1.9"";""92"";""Ветер, дующий с северо-востока"";""6"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-6.5"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""20.0"";""-7.2"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 06:00"";""-5.8"";""756.6"";""761.7"";""1.8"";""92"";""Ветер, дующий с северо-востока"";""6"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-5.8"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""19.0"";""-6.9"";""0.5"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""20.0""",
"""10.05.2023 03:00"";""-4.9"";""754.8"";""759.9"";""1.4"";""92"";""Ветер, дующий с северо-востока"";""5"";"""";"""";""90  или более, но не 100%"";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""200-300"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-6.0"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 00:00"";""-3.4"";""753.4"";""758.5"";""0.6"";""95"";""Ветер, дующий с северо-северо-востока"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""20.0"";""-4.1"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 21:00"";""-1.5"";""752.8"";""757.9"";""0.6"";""92"";""Ветер, дующий с востоко-северо-востока"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""20.0"";""-2.6"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 18:00"";""-1.1"";""752.2"";""757.3"";""0.6"";""92"";""Ветер, дующий с запада"";""1"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";""0.1"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-2.3"";""Следы осадков"";""12"";"""";"""";"""";""""",
