#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""Местное время на метеостанции им. М.В.Попова"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,
"""26.04.2023 11:00"";""-2.2"";""758.5"";""759.1"";""1.4"";""96"";""Ветер, дующий с востоко-юго-востока"";""8"";"""";""12"";""100%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""10.0"";""-2.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 08:00"";""-3.4"";""757.1"";""757.6"";""1.2"";""96"";""Ветер, дующий с юго-востока"";""9"";""11"";""11"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-6.9"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""8.0"";""-4.0"";""0.2"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""78.0""",,,,,,
"""26.04.2023 05:00"";""-6.9"";""755.9"";""756.4"";""2.0"";""94"";""Ветер, дующий с юго-востока"";""8"";"""";""12"";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""8.0"";""-7.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 02:00"";""-5.9"";""753.9"";""754.4"";""1.9"";""96"";""Ветер, дующий с юго-юго-востока"";""8"";"""";""12"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""7.0"";""-6.5"";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 23:00"";""-4.4"";""752.0"";""752.6"";""0.3"";""95"";""Ветер, дующий с юго-востока"";""10"";""12"";""14"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""6.0"";""-5.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 20:00"";""-2.8"";""751.7"";""752.3"";""-0.4"";""95"";""Ветер, дующий с востоко-юго-востока"";""9"";""11"";""13"";""100%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";""-1.1"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""12.0"";""-3.5"";""1.0"";""12"";"""";"""";"""";""""",,,,,,
"""25.04.2023 17:00"";""-2.5"";""752.1"";""752.6"";""1.1"";""96"";""Ветер, дующий с востоко-юго-востока"";""8"";""10"";""14"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""1000-1500"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.2"";""-3.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 14:00"";""-2.0"";""751.0"";""751.6"";""0.3"";""96"";""Ветер, дующий с востоко-юго-востока"";""11"";""13"";""14"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.7"";""-2.5"";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 11:00"";""-3.6"";""750.7"";""751.2"";""0.0"";""96"";""Ветер, дующий с востока"";""12"";""13"";""14"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""0.5"";""-4.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 08:00"";""-3.8"";""750.7"";""751.3"";""-1.5"";""96"";""Ветер, дующий с востока"";""12"";""14"";""14"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-7.0"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""0.5"";""-4.4"";""Следы осадков"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""81.0""",,,,,,
"""25.04.2023 05:00"";""-5.1"";""752.2"";""752.8"";""-0.9"";""93"";""Ветер, дующий с востока"";""10"";""12"";""12"";""100%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";""Высокослоистые просвечивающие."";"""";"""";""-6.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 02:00"";""-6.3"";""753.1"";""753.7"";""-0.8"";""91"";""Ветер, дующий с востока"";""8"";""11"";""11"";""20–30%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""17.0"";""-7.5"";"""";"""";""","""","""","""",,,
"""24.04.2023 23:00"";""-6.3"";""753.9"";""754.4"";""0.0"";""94"";""Ветер, дующий с востока"";""7"";"""";""11"";""40%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""40%."";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""12.0"";""-7.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""24.04.2023 20:00"";""-4.4"";""753.9"";""754.4"";""0.5"";""96"";""Ветер, дующий с востока"";""6"";"""";""11"";""60%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-0.1"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""60%."";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""13.0"";""-5.0"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""24.04.2023 17:00"";""-1.1"";""753.4"";""754.0"";""0.9"";""94"";""Ветер, дующий с востоко-юго-востока"";""9"";""11"";""12"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""14.0"";""-1.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""24.04.2023 14:00"";""-0.7"";""752.5"";""753.0"";""1.0"";""96"";""Ветер, дующий с востоко-юго-востока"";""9"";""11"";""12"";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""12.0"";""-1.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""24.04.2023 11:00"";""-0.3"";""751.5"";""752.0"";""0.6"";""98"";""Ветер, дующий с юго-востока"";""10"";""12"";""14"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""6.0"";""-0.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""24.04.2023 08:00"";""-0.4"";""750.9"";""751.4"";""0.0"";""99"";""Ветер, дующий с юго-востока"";""9"";""11"";""14"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-2.7"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""7.0"";""-0.5"";""0.2"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""81.0""",,,,,,
"""24.04.2023 05:00"";""-0.4"";""750.9"";""751.4"";""0.4"";""99"";""Ветер, дующий с юго-востока"";""9"";""11"";""14"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-2.7"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""7.0"";""-0.5"";""0.2"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""81.0""",,,,,,
"""24.04.2023 02:00"";""-0.9"";""750.5"";""751.0"";""-0.5"";""99"";""Ветер, дующий с востоко-юго-востока"";""12"";""14"";""14"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""0.9"";""-1.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 23:00"";""-2.0"";""751.0"";""751.6"";""-0.6"";""99"";""Ветер, дующий с востоко-юго-востока"";""11"";""14"";""18"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.4"";""-2.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 20:00"";""-2.4"";""751.6"";""752.1"";""-0.9"";""98"";""Ветер, дующий с востоко-юго-востока"";""14"";""16"";""17"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";""-1.6"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""0.4"";""-2.7"";""0.4"";""12"";"""";"""";"""";""""",,,,,,
"""23.04.2023 17:00"";""-1.8"";""752.5"";""753.1"";""-0.7"";""98"";""Ветер, дующий с юго-востока"";""12"";""13"";""14"";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""1.7"";""-2.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 14:00"";""-4.2"";""753.2"";""753.7"";""-1.0"";""96"";""Ветер, дующий с востоко-юго-востока"";""10"";""12"";""14"";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""1.8"";""-4.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 11:00"";""-5.0"";""754.2"";""754.7"";""-1.2"";""96"";""Ветер, дующий с востоко-юго-востока"";""11"";""12"";""13"";""100%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";""-5.6"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""2.2"";""-5.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 08:00"";""-4.3"";""755.4"";""755.9"";""-0.7"";""96"";""Ветер, дующий с юго-востока"";""10"";""12"";""12"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-4.9"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""3.1"";""-4.9"";""Следы осадков"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""80.0""",,,,,,
"""23.04.2023 05:00"";""-4.2"";""756.1"";""756.7"";""-0.4"";""95"";""Ветер, дующий с юго-юго-востока"";""8"";""10"";""10"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""11.0"";""-4.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 02:00"";""-4.1"";""756.5"";""757.0"";""0.1"";""96"";""Ветер, дующий с юга"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-4.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""22.04.2023 23:00"";""-3.8"";""756.4"";""756.9"";""0.2"";""97"";""Ветер, дующий с юга"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-4.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""22.04.2023 20:00"";""-3.4"";""756.2"";""756.7"";""0.3"";""97"";""Ветер, дующий с юга"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-2.7"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""13.0"";""-3.8"";""0.2"";""12"";"""";"""";"""";""""",,,,,,
"""22.04.2023 17:00"";""-3.1"";""755.9"";""756.4"";""0.5"";""92"";""Ветер, дующий с юга"";""6"";"""";""10"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-4.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""22.04.2023 14:00"";""-3.1"";""755.4"";""755.9"";""0.6"";""95"";""Ветер, дующий с юга"";""7"";"""";""10"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";"""";""-3.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""22.04.2023 11:00"";""-3.1"";""754.8"";""755.3"";""0.3"";""96"";""Ветер, дующий с юга"";""8"";"""";""10"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""14.0"";""-3.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""22.04.2023 08:00"";""-4.1"";""754.5"";""755.0"";""0.3"";""96"";""Ветер, дующий с юга"";""8"";""10"";""10"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";""-6.3"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""4.8"";""-4.6"";""0.2"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""79.0""",,,,,,
"""22.04.2023 05:00"";""-5.0"";""754.2"";""754.7"";""0.5"";""97"";""Ветер, дующий с юга"";""7"";"""";""10"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""3.7"";""-5.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""22.04.2023 02:00"";""-3.3"";""753.7"";""754.3"";""0.0"";""98"";""Ветер, дующий с юга"";""8"";"""";""10"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.8"";""-3.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""21.04.2023 23:00"";""-2.4"";""753.7"";""754.2"";""0.0"";""98"";""Ветер, дующий с юго-юго-востока"";""9"";""10"";""11"";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""9.0"";""-2.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""21.04.2023 20:00"";""-2.5"";""753.7"";""754.2"";""0.3"";""98"";""Ветер, дующий с юга"";""8"";"""";""11"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";""-2.0"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""9.0"";""-2.8"";""0.4"";""12"";"""";"""";"""";""""",,,,,,
"""21.04.2023 17:00"";""-2.2"";""753.4"";""754.0"";""1.1"";""97"";""Ветер, дующий с юга"";""8"";""10"";""14"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""4.1"";""-2.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""21.04.2023 14:00"";""-2.6"";""752.3"";""752.8"";""-0.8"";""97"";""Ветер, дующий с юго-юго-востока"";""11"";""13"";""14"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.3"";""-3.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""21.04.2023 11:00"";""-3.7"";""753.1"";""753.6"";""-0.3"";""96"";""Ветер, дующий с юго-востока"";""10"";""12"";""13"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.7"";""-4.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""21.04.2023 08:00"";""-4.1"";""753.4"";""753.9"";""-0.6"";""96"";""Ветер, дующий с юго-востока"";""10"";""11"";""11"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-5.1"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.2"";""-4.6"";""0.8"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""79.0""",,,,,,
"""21.04.2023 05:00"";""-4.6"";""754.0"";""754.6"";""-0.6"";""96"";""Ветер, дующий с юго-востока"";""9"";""10"";""11"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""0.8"";""-5.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""21.04.2023 02:00"";""-4.6"";""754.6"";""755.1"";""-0.3"";""97"";""Ветер, дующий с юго-юго-востока"";""10"";""11"";""11"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.3"";""-5.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""20.04.2023 23:00"";""-3.8"";""754.9"";""755.5"";""-0.5"";""97"";""Ветер, дующий с юго-юго-востока"";""9"";""11"";""13"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.9"";""-4.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""20.04.2023 20:00"";""-3.5"";""755.4"";""756.0"";""-0.2"";""97"";""Ветер, дующий с юго-юго-востока"";""10"";""11"";""13"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";""-2.0"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.9"";""-3.9"";""0.4"";""12"";"""";"""";"""";""""",,,,,,
"""20.04.2023 17:00"";""-2.4"";""755.6"";""756.1"";""-0.5"";""97"";""Ветер, дующий с юго-юго-востока"";""10"";""12"";""13"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""1.8"";""-2.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""20.04.2023 14:00"";""-2.1"";""756.1"";""756.6"";""0.0"";""97"";""Ветер, дующий с юга"";""10"";""12"";""13"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""1000-1500"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.8"";""-2.5"";"""";"""";"""";"""";"""";""""",,,,,,
"""20.04.2023 11:00"";""-3.5"";""756.1"";""756.7"";""-0.8"";""96"";""Ветер, дующий с юго-юго-востока"";""10"";""12"";""13"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.5"";""-4.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""20.04.2023 08:00"";""-4.6"";""756.9"";""757.4"";""-0.7"";""96"";""Ветер, дующий с юго-юго-востока"";""9"";""10"";""10"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-6.6"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""3.0"";""-5.1"";""Следы осадков"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""76.0""",,,,,,
"""20.04.2023 05:00"";""-4.8"";""757.6"";""758.2"";""-1.7"";""97"";""Ветер, дующий с юго-юго-востока"";""6"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";"""";""-5.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""20.04.2023 02:00"";""-5.0"";""759.3"";""759.9"";""0.0"";""98"";""Ветер, дующий с юга"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-5.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""19.04.2023 23:00"";""-5.0"";""759.3"";""759.9"";""-1.0"";""98"";""Ветер, дующий с юга"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-5.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""19.04.2023 20:00"";""-6.6"";""760.3"";""760.8"";""-0.5"";""96"";""Ветер, дующий с юга"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";""-2.8"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-7.1"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
