#
"""Местное время в Индиге"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss"""
"""26.04.2023 15:00"";""-0.2"";""762.1"";""762.4"";""-0.3"";""90"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-1.7"";"""";"""";"""";"""";"""";"""""
"""26.04.2023 12:00"";""-0.3"";""762.4"";""762.8"";""0.0"";""87"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""19.0"";""-2.2"";"""";"""";"""";"""";"""";"""""
"""26.04.2023 09:00"";""-1.6"";""762.4"";""762.8"";""0.1"";""88"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.4"";"""";"""";"""";"""";"""";"""""
"""26.04.2023 06:00"";""-3.5"";""762.3"";""762.7"";""0.5"";""89"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";""-5.8"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.1"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""30.0"""
"""26.04.2023 03:00"";""-2.5"";""761.8"";""762.2"";""0.0"";""87"";""Ветер, дующий с западо-юго-запада"";""7"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.4"";"""";"""";"""";"""";"""";"""""
"""26.04.2023 00:00"";""-5.2"";""761.8"";""762.1"";""0.0"";""85"";""Ветер, дующий с западо-юго-запада"";""7"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-7.3"";"""";"""";"""";"""";"""";"""""
"""25.04.2023 21:00"";""-3.6"";""761.8"";""762.1"";""0.1"";""87"";""Ветер, дующий с западо-юго-запада"";""9"";""10"";""11"";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-5.5"";"""";"""";"""";"""";"""";"""""
"""25.04.2023 18:00"";""-1.7"";""761.7"";""762.1"";""0.5"";""83"";""Ветер, дующий с западо-юго-запада"";""8"";""10"";""11"";""Облаков нет."";"" "";"""";"""";"""";""-0.4"";"""";"""";"""";"""";"""";""20.0"";""-4.2"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""25.04.2023 15:00"";""-0.6"";""761.2"";""761.5"";""1.3"";""86"";""Ветер, дующий с западо-юго-запада"";""8"";""10"";""11"";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-2.7"";"""";"""";"""";"""";"""";"""""
"""25.04.2023 12:00"";""-0.4"";""759.9"";""760.3"";""1.5"";""88"";""Ветер, дующий с западо-юго-запада"";""8"";""11"";""11"";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""10%  или менее, но не 0"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""18.0"";""-2.1"";"""";"""";"""";"""";"""";"""""
"""25.04.2023 09:00"";""-1.9"";""758.4"";""758.8"";""1.4"";""96"";""Ветер, дующий с западо-юго-запада"";""7"";"""";"""";""60%."";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""50%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-2.5"";"""";"""";"""";"""";"""";"""""
"""25.04.2023 06:00"";""-4.7"";""757.0"";""757.4"";""1.2"";""96"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";""-10.9"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""14.0"";""-5.3"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""31.0"""
"""25.04.2023 03:00"";""-10.3"";""755.8"";""756.2"";""0.6"";""92"";""Ветер, дующий с западо-юго-запада"";""4"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""17.0"";""-11.4"";"""";"""";"""";"""";"""";"""""
"""25.04.2023 00:00"";""-9.3"";""755.2"";""755.6"";""0.1"";""92"";""Ветер, дующий с юго-запада"";""4"";"""";"""";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-10.4"";"""";"""";"""";"""";"""";"""""
"""24.04.2023 21:00"";""-5.2"";""755.1"";""755.5"";""-0.7"";""90"";""Ветер, дующий с юго-запада"";""4"";"""";"""";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-6.6"";"""";"""";"""";"""";"""";"""""
"""24.04.2023 18:00"";""-2.9"";""755.8"";""756.1"";""-0.2"";""88"";""Ветер, дующий с юго-запада"";""5"";"""";""12"";""70 – 80%."";"" "";"""";"""";"""";""-0.9"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-4.7"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""24.04.2023 15:00"";""-1.1"";""756.0"";""756.4"";""0.3"";""80"";""Ветер, дующий с западо-юго-запада"";""9"";"""";""13"";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-4.2"";"""";"""";"""";"""";"""";"""""
"""24.04.2023 12:00"";""-1.1"";""755.7"";""756.1"";""0.6"";""79"";""Ветер, дующий с западо-юго-запада"";""10"";"""";""14"";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""19.0"";""-4.4"";"""";"""";"""";"""";"""";"""""
"""24.04.2023 09:00"";""-2.2"";""755.1"";""755.5"";""0.5"";""82"";""Ветер, дующий с западо-юго-запада"";""10"";""13"";""13"";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-4.9"";"""";"""";"""";"""";"""";"""""
"""24.04.2023 06:00"";""-3.9"";""754.6"";""754.9"";""0.0"";""82"";""Ветер, дующий с западо-юго-запада"";""9"";""11"";""11"";""20–30%."";"" "";"""";"""";""-6.1"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-6.5"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""31.0"""
"""24.04.2023 03:00"";""-5.1"";""754.6"";""754.9"";""0.0"";""82"";""Ветер, дующий с западо-юго-запада"";""8"";"""";""10"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-7.8"";"""";"""";"""";"""";"""";"""""
"""24.04.2023 00:00"";""-4.4"";""754.6"";""755.0"";""-0.3"";""84"";""Ветер, дующий с западо-юго-запада"";""8"";"""";""10"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-6.7"";"""";"""";"""";"""";"""";"""""
"""23.04.2023 21:00"";""-5.3"";""754.9"";""755.3"";""-0.3"";""84"";""Ветер, дующий с западо-юго-запада"";""7"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-7.6"";"""";"""";"""";"""";"""";"""""
"""23.04.2023 18:00"";""-2.6"";""755.2"";""755.5"";""1.0"";""81"";""Ветер, дующий с запада"";""8"";""12"";""14"";""60%."";"" "";"""";"""";"""";""-1.9"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""60%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-5.4"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""23.04.2023 15:00"";""-2.2"";""754.2"";""754.6"";""1.3"";""84"";""Ветер, дующий с запада"";""10"";"""";""14"";""50%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""50%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-4.6"";"""";"""";"""";"""";"""";"""""
"""23.04.2023 12:00"";""-2.4"";""752.9"";""753.3"";""1.3"";""85"";""Ветер, дующий с запада"";""11"";"""";"""";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""50%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""16.0"";""-4.6"";"""";"""";"""";"""";"""";"""""
"""23.04.2023 09:00"";""-2.9"";""751.6"";""752.0"";""0.3"";""84"";""Ветер, дующий с запада"";""8"";""11"";""11"";""20–30%."";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""20–30%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.3"";"""";"""";"""";"""";"""";"""""
"""23.04.2023 06:00"";""-4.3"";""751.3"";""751.6"";""0.0"";""87"";""Ветер, дующий с запада"";""6"";"""";"""";""20–30%."";"" "";"""";"""";""-6.0"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""20–30%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-6.1"";""0.3"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""34.0"""
"""23.04.2023 03:00"";""-4.8"";""751.3"";""751.6"";""1.0"";""85"";""Ветер, дующий с западо-северо-запада"";""5"";"""";""10"";""100%."";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""20–30%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-6.9"";"""";"""";"""";"""";"""";"""""
"""23.04.2023 00:00"";""-3.1"";""750.3"";""750.7"";""1.1"";""86"";""Ветер, дующий с северо-запада"";""8"";""10"";""11"";""60%."";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""60%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.2"";"""";"""";"""";"""";"""";"""""
"""22.04.2023 21:00"";""-3.1"";""749.2"";""749.5"";""1.8"";""92"";""Ветер, дующий с севера"";""8"";"""";"""";""40%."";""Облака в целом рассеиваются или становятся менее развитыми. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""40%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.3"";"""";"""";"""";"""";"""";"""""
"""22.04.2023 18:00"";""-0.6"";""747.4"";""747.7"";""-0.6"";""100"";""Ветер, дующий с северо-запада"";""5"";"""";""14"";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""0.5"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""8.0"";""-0.6"";""4.0"";""12"";"""";"""";"""";"""""
"""22.04.2023 15:00"";""0.4"";""748.0"";""748.3"";""-2.5"";""98"";""Ветер, дующий с юго-юго-запада"";""12"";""14"";""14"";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Буря"";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""9.0"";""0.1"";"""";"""";"""";"""";"""";"""""
"""22.04.2023 12:00"";""-1.0"";""750.5"";""750.9"";""-2.5"";""98"";""Ветер, дующий с юго-востока"";""7"";"""";""10"";""100%."";""Ливневый снег умеренный или сильный в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Метель"";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""1.0"";""-1.3"";"""";"""";"""";"""";"""";"""""
"""22.04.2023 09:00"";""-1.1"";""753.0"";""753.4"";""-1.6"";""92"";""Ветер, дующий с юго-юго-запада"";""8"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""11.0"";""-2.2"";"""";"""";"""";"""";"""";"""""
"""22.04.2023 06:00"";""-2.4"";""754.6"";""755.0"";""-1.2"";""94"";""Ветер, дующий с юго-юго-запада"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";""-7.9"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.2"";""Следы осадков"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""24.0"""
"""22.04.2023 03:00"";""-5.6"";""755.8"";""756.1"";""-0.3"";""95"";""Ветер, дующий с юго-юго-запада"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-6.3"";"""";"""";"""";"""";"""";"""""
"""22.04.2023 00:00"";""-4.2"";""756.1"";""756.4"";""0.0"";""96"";""Ветер, дующий с западо-северо-запада"";""2"";"""";"""";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-4.7"";"""";"""";"""";"""";"""";"""""
"""21.04.2023 21:00"";""-1.4"";""756.1"";""756.4"";""0.0"";""96"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.9"";"""";"""";"""";"""";"""";"""""
"""21.04.2023 18:00"";""-1.2"";""756.1"";""756.4"";""0.3"";""98"";""Ветер, дующий с северо-северо-запада"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""0.3"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";"""";""-1.5"";""0.7"";""12"";"""";"""";"""";"""""
"""21.04.2023 15:00"";""-0.1"";""755.8"";""756.1"";""0.1"";""99"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""2.1"";""-0.3"";"""";"""";"""";"""";"""";"""""
"""21.04.2023 12:00"";""0.3"";""755.7"";""756.1"";""-0.1"";""97"";""Ветер, дующий с западо-юго-запада"";""4"";"""";"""";""100%."";""Ливневый снег или ливневый дождь и снег. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""15.0"";""-0.1"";"""";"""";"""";"""";"""";"""""
"""21.04.2023 09:00"";""-0.2"";""755.8"";""756.2"";""-0.6"";""97"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";""Ливневый снег или ливневый дождь и снег. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""12.0"";""-0.6"";"""";"""";"""";"""";"""";"""""
"""21.04.2023 06:00"";""-0.6"";""756.4"";""756.7"";""-0.7"";""97"";""Ветер, дующий с запада"";""5"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-1.0"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""7.0"";""-1.0"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""24.0"""
"""21.04.2023 03:00"";""-1.0"";""757.1"";""757.5"";""-0.9"";""96"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""14.0"";""-1.5"";"""";"""";"""";"""";"""";"""""
"""21.04.2023 00:00"";""-0.7"";""758.0"";""758.4"";""-0.5"";""94"";""Ветер, дующий с запада"";""7"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""19.0"";""-1.5"";"""";"""";"""";"""";"""";"""""
"""20.04.2023 21:00"";""-0.5"";""758.5"";""758.8"";""-0.6"";""95"";""Ветер, дующий с запада"";""7"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""-1.2"";"""";"""";"""";"""";"""";"""""
"""20.04.2023 18:00"";""-0.4"";""759.1"";""759.4"";""-0.1"";""96"";""Ветер, дующий с запада"";""6"";"""";""10"";""100%."";""Ливневый град, или дождь и град. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""0.5"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""19.0"";""-0.9"";""0.2"";""12"";"""";"""";"""";"""""
"""20.04.2023 15:00"";""-0.2"";""759.2"";""759.6"";""0.1"";""97"";""Ветер, дующий с запада"";""5"";"""";"""";""100%."";""Ливневый снег или ливневый дождь и снег. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""16.0"";""-0.6"";"""";"""";"""";"""";"""";"""""
"""20.04.2023 12:00"";""0.4"";""759.1"";""759.5"";""0.1"";""96"";""Ветер, дующий с запада"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""16.0"";""-0.1"";"""";"""";"""";"""";"""";"""""
"""20.04.2023 09:00"";""0.2"";""759.0"";""759.4"";""-0.7"";""98"";""Ветер, дующий с запада"";""7"";"""";""10"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""16.0"";""-0.1"";"""";"""";"""";"""";"""";"""""
"""20.04.2023 06:00"";""0.0"";""759.7"";""760.1"";""-1.2"";""99"";""Ветер, дующий с западо-юго-запада"";""7"";""10"";""10"";""100%."";""Ливневый снег или ливневый дождь и снег. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-0.2"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""11.0"";""-0.1"";""0.5"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""25.0"""
"""20.04.2023 03:00"";""0.0"";""760.9"";""761.2"";""-1.3"";""99"";""Ветер, дующий с запада"";""7"";"""";""11"";""100%."";""Дымка. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""8.0"";""-0.1"";"""";"""";"""";"""";"""";"""""
